,,,,,,,,,,,,,,,,, ml , dl , l , t , T , floz , oz , c , pt , qt , gal ,g,lb
,"US weight units: oz, lb",,,,,,,,,,,,,,"blackberries, raw",," 0,61 ", 61 , 609 ," 3,0 "," 9,1 "," 18,0 "," 28,3 ", 144 , 288 , 576 , 2.304 ,1,453
,"Metric volume units: ml, dl, l",,,,,,,,,,,,,,blue corn meal,," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,"Metric weight units: g, kg",,,,,,,,,,,,,,"blueberries, raw",," 0,63 ", 63 , 626 ," 3,1 "," 9,4 "," 18,5 "," 28,3 ", 148 , 296 , 592 , 2.368 ,1,453
,"For eggs, egg whites, egg yolks and stick of butter unit field is left blank",,,,,,,,,,,,,,"bran, unsifted",," 0,23 ", 23 , 230 ," 1,2 "," 3,5 "," 6,8 "," 28,3 ", 54 , 109 , 218 , 871 ,1,453
,,,,,,,,,,,,,,,"brazil nuts, whole",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,Navigation,,,,,,,,,,,,,,"bread crumbs, fresh",," 0,25 ", 25 , 250 ," 1,3 "," 3,8 "," 7,4 "," 28,3 ", 59 , 118 , 237 , 946 ,1,453
,Use tab or left/right arrow to navigate in/out of ingredients,,,,,,,,,,,,,,"bread crumbs, packaged",," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,Autocomplete feature in ingredient field requires macros to be enabled,,,,,,,,,,,,,,buckwheat groats,," 0,72 ", 72 , 720 ," 3,6 "," 10,8 "," 21,3 "," 28,3 ", 170 , 341 , 681 , 2.725 ,1,453
,Use up/down arrows to navigate up/down in drop down list of ingredients,,,,,,,,,,,,,,"bulgur, dry",," 0,59 ", 59 , 592 ," 3,0 "," 8,9 "," 17,5 "," 28,3 ", 140 , 280 , 560 , 2.240 ,1,453
,,,,,,,,,,,,,,,butter,," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
,References,,,,,,,,,,,,,,"butter, stick","114,75"," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
,Densities mainly taken from rec.food.cooking and USDA National Nutrient Database,,,,,,,,,,,,,,buttermilk,," 1,04 ", 104 , 1.040 ," 5,2 "," 15,6 "," 30,8 "," 28,3 ", 246 , 492 , 984 , 3.937 ,1,453
,Some additional data from http://www.aqua-calc.com,,,,,,,,,,,,,,"cabbage, shredded",," 1,44 ", 144 , 1.440 ," 7,2 "," 21,6 "," 42,6 "," 28,3 ", 341 , 681 , 1.363 , 5.451 ,1,453
,Some densities added/corrected by Martin Lersch,,,,,,,,,,,,,,"cake crumbs, fresh",," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
,,,,,,,,,,,,,,,candied lemon peel,," 0,57 ", 57 , 570 ," 2,9 "," 8,6 "," 16,9 "," 28,3 ", 135 , 270 , 539 , 2.158 ,1,453
,"Volume-to-weight calculator by Martin Lersch (v.2, January 2014)",,,,,,,,,,,,,,candied orange peel,," 0,53 ", 53 , 530 ," 2,7 "," 8,0 "," 15,7 "," 28,3 ", 125 , 251 , 502 , 2.006 ,1,453
,Downloaded from Khymos - a blog dedicated to molecular gastronomy and popular food science,,,,,,,,,,,,,,"caraway seed, whole",," 0,45 ", 45 , 447 ," 2,2 "," 6,7 "," 13,2 "," 28,3 ", 106 , 211 , 423 , 1.691 ,1,453
,http://blog.khymos.org,,,,,,,,,,,,,,"cardamom, ground",," 0,39 ", 39 , 387 ," 1,9 "," 5,8 "," 11,4 "," 28,3 ", 91 , 183 , 366 , 1.464 ,1,453
,http://twitter.com/tastymolecules,,,,,,,,,,,,,,carob flour,," 0,44 ", 44 , 435 ," 2,2 "," 6,5 "," 12,9 "," 28,3 ", 103 , 206 , 412 , 1.648 ,1,453
,,,,,,,,,,,,,,,"carrots, raw, chopped",," 0,54 ", 54 , 541 ," 2,7 "," 8,1 "," 16,0 "," 28,3 ", 128 , 256 , 512 , 2.048 ,1,453
,,,,,,,,,,,,,,,"carrots, raw, grated",," 0,46 ", 46 , 465 ," 2,3 "," 7,0 "," 13,8 "," 28,3 ", 110 , 220 , 440 , 1.760 ,1,453
,,,,,,,,,,,,,,,"cashews, oil roasted",," 0,47 ", 47 , 470 ," 2,4 "," 7,1 "," 13,9 "," 28,3 ", 111 , 222 , 445 , 1.779 ,1,453
,,,,,,,,,,,,,,,cauliflower fleurets,," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
,,,,,,,,,,,,,,,"cayenne, powder",," 0,35 ", 35 , 353 ," 1,8 "," 5,3 "," 10,4 "," 28,3 ", 84 , 167 , 334 , 1.338 ,1,453
,,,,,,,,,,,,,,,celery seed,," 0,43 ", 43 , 430 ," 2,2 "," 6,5 "," 12,7 "," 28,3 ", 102 , 203 , 407 , 1.628 ,1,453
,,,,,,,,,,,,,,,"cereal, Rice Krispies",," 0,09 ", 9 , 90 ," 0,5 "," 1,4 "," 2,7 "," 28,3 ", 21 , 43 , 85 , 341 ,1,453
,,,,,,,,,,,,,,,"cheese, cheddar, grated",," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,"cheese, colby, grated",," 0,47 ", 47 , 470 ," 2,4 "," 7,1 "," 13,9 "," 28,3 ", 111 , 222 , 445 , 1.779 ,1,453
,,,,,,,,,,,,,,,"cheese, cottage",," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
,,,,,,,,,,,,,,,"cheese, cream",," 1,02 ", 102 , 1.020 ," 5,1 "," 15,3 "," 30,2 "," 28,3 ", 241 , 483 , 965 , 3.861 ,1,453
,,,,,,,,,,,,,,,"cheese, grated parmesan",," 0,59 ", 59 , 590 ," 3,0 "," 8,9 "," 17,4 "," 28,3 ", 140 , 279 , 558 , 2.233 ,1,453
,,,,,,,,,,,,,,,"cheese, jack, grated",," 0,55 ", 55 , 550 ," 2,8 "," 8,3 "," 16,3 "," 28,3 ", 130 , 260 , 520 , 2.082 ,1,453
,,,,,,,,,,,,,,,"chervil, dried",," 0,13 ", 13 , 127 ," 0,6 "," 1,9 "," 3,7 "," 28,3 ", 30 , 60 , 120 , 479 ,1,453
,,,,,,,,,,,,,,,chili powder,," 0,53 ", 53 , 533 ," 2,7 "," 8,0 "," 15,8 "," 28,3 ", 126 , 252 , 505 , 2.019 ,1,453
,,,,,,,,,,,,,,,"chives, chopped dried",," 0,03 ", 3 , 30 ," 0,2 "," 0,5 "," 0,9 "," 28,3 ", 7 , 14 , 28 , 114 ,1,453
,,,,,,,,,,,,,,,"chives, chopped fresh",," 0,21 ", 21 , 210 ," 1,1 "," 3,2 "," 6,2 "," 28,3 ", 50 , 99 , 199 , 795 ,1,453
,,,,,,,,,,,,,,,chocolate chips,," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,"chocolate, cocoa powder",," 0,43 ", 43 , 430 ," 2,2 "," 6,5 "," 12,7 "," 28,3 ", 102 , 203 , 407 , 1.628 ,1,453
,,,,,,,,,,,,,,,"chocolate, grated",," 0,42 ", 42 , 420 ," 2,1 "," 6,3 "," 12,4 "," 28,3 ", 99 , 199 , 397 , 1.590 ,1,453
,,,,,,,,,,,,,,,"chocolate, melted",," 1,02 ", 102 , 1.020 ," 5,1 "," 15,3 "," 30,2 "," 28,3 ", 241 , 483 , 965 , 3.861 ,1,453
,,,,,,,,,,,,,,,"cinnamon, ground",," 0,52 ", 52 , 520 ," 2,6 "," 7,8 "," 15,4 "," 28,3 ", 123 , 246 , 492 , 1.968 ,1,453
,,,,,,,,,,,,,,,"cloves, ground",," 0,41 ", 41 , 410 ," 2,1 "," 6,2 "," 12,1 "," 28,3 ", 97 , 194 , 388 , 1.552 ,1,453
,,,,,,,,,,,,,,,"cloves, whole",," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
