,,,,,,,,,,,,,,,,, ml , dl , l , t , T , floz , oz , c , pt , qt , gal ,g,lb
,,,,,,,,,,,,,,,mayonnaise,," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,milk,," 1,00 ", 100 , 1.000 ," 5,0 "," 15,0 "," 29,6 "," 28,3 ", 237 , 473 , 946 , 3.785 ,1,453
,,,,,,,,,,,,,,,"milk, evaporated",," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,"milk, powdered",," 0,49 ", 49 , 490 ," 2,5 "," 7,4 "," 14,5 "," 28,3 ", 116 , 232 , 464 , 1.855 ,1,453
,,,,,,,,,,,,,,,millet flour,," 0,50 ", 50 , 503 ," 2,5 "," 7,5 "," 14,9 "," 28,3 ", 119 , 238 , 476 , 1.904 ,1,453
,,,,,,,,,,,,,,,molasses,," 1,45 ", 145 , 1.450 ," 7,3 "," 21,8 "," 42,9 "," 28,3 ", 343 , 686 , 1.372 , 5.489 ,1,453
,,,,,,,,,,,,,,,"mulberries, raw",," 0,59 ", 59 , 592 ," 3,0 "," 8,9 "," 17,5 "," 28,3 ", 140 , 280 , 560 , 2.240 ,1,453
,,,,,,,,,,,,,,,"mushrooms, Chinese black",," 0,21 ", 21 , 210 ," 1,1 "," 3,2 "," 6,2 "," 28,3 ", 50 , 99 , 199 , 795 ,1,453
,,,,,,,,,,,,,,,"mushrooms, chopped",," 0,32 ", 32 , 320 ," 1,6 "," 4,8 "," 9,5 "," 28,3 ", 76 , 151 , 303 , 1.211 ,1,453
,,,,,,,,,,,,,,,"mushrooms, sliced",," 0,28 ", 28 , 280 ," 1,4 "," 4,2 "," 8,3 "," 28,3 ", 66 , 132 , 265 , 1.060 ,1,453
,,,,,,,,,,,,,,,"mushrooms, whole",," 0,25 ", 25 , 250 ," 1,3 "," 3,8 "," 7,4 "," 28,3 ", 59 , 118 , 237 , 946 ,1,453
,,,,,,,,,,,,,,,mustard seed,," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,"mustard seed, ground",," 0,42 ", 42 , 420 ," 2,1 "," 6,3 "," 12,4 "," 28,3 ", 99 , 199 , 397 , 1.590 ,1,453
,,,,,,,,,,,,,,,"mustard, dry",," 0,49 ", 49 , 490 ," 2,5 "," 7,4 "," 14,5 "," 28,3 ", 116 , 232 , 464 , 1.855 ,1,453
,,,,,,,,,,,,,,,"mustard, prepared",," 1,06 ", 106 , 1.060 ," 5,3 "," 15,9 "," 31,3 "," 28,3 ", 251 , 502 , 1.003 , 4.013 ,1,453
,,,,,,,,,,,,,,,"nutmeg, ground",," 0,47 ", 47 , 467 ," 2,3 "," 7,0 "," 13,8 "," 28,3 ", 110 , 221 , 442 , 1.767 ,1,453
,,,,,,,,,,,,,,,"oatmeal, uncooked",," 0,34 ", 34 , 340 ," 1,7 "," 5,1 "," 10,1 "," 28,3 ", 80 , 161 , 322 , 1.287 ,1,453
,,,,,,,,,,,,,,,"oats, rolled",," 0,34 ", 34 , 340 ," 1,7 "," 5,1 "," 10,1 "," 28,3 ", 80 , 161 , 322 , 1.287 ,1,453
,,,,,,,,,,,,,,,"oats, steel-cut",," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,"oil, vegetable",," 0,89 ", 89 , 890 ," 4,5 "," 13,4 "," 26,3 "," 28,3 ", 211 , 421 , 842 , 3.369 ,1,453
,,,,,,,,,,,,,,,olive oil,," 0,81 ", 81 , 810 ," 4,1 "," 12,2 "," 24,0 "," 28,3 ", 192 , 383 , 767 , 3.066 ,1,453
,,,,,,,,,,,,,,,"olives, chopped",," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,"onion, chopped",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,"onion, minced",," 0,85 ", 85 , 850 ," 4,3 "," 12,8 "," 25,1 "," 28,3 ", 201 , 402 , 804 , 3.218 ,1,453
,,,,,,,,,,,,,,,"onion, sliced",," 0,55 ", 55 , 550 ," 2,8 "," 8,3 "," 16,3 "," 28,3 ", 130 , 260 , 520 , 2.082 ,1,453
,,,,,,,,,,,,,,,"orange rind, grated",," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
,,,,,,,,,,,,,,,"oregano, dried, ground",," 0,36 ", 36 , 360 ," 1,8 "," 5,4 "," 10,6 "," 28,3 ", 85 , 170 , 341 , 1.363 ,1,453
,,,,,,,,,,,,,,,"oregano, dried, leaves",," 0,20 ", 20 , 200 ," 1,0 "," 3,0 "," 5,9 "," 28,3 ", 47 , 95 , 189 , 757 ,1,453
,,,,,,,,,,,,,,,"oreo cookies, crushed",," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,paprika,," 0,49 ", 49 , 490 ," 2,5 "," 7,4 "," 14,5 "," 28,3 ", 116 , 232 , 464 , 1.855 ,1,453
,,,,,,,,,,,,,,,paprika powder,," 0,45 ", 45 , 453 ," 2,3 "," 6,8 "," 13,4 "," 28,3 ", 107 , 215 , 429 , 1.716 ,1,453
,,,,,,,,,,,,,,,"parsley, dried",," 0,11 ", 11 , 107 ," 0,5 "," 1,6 "," 3,2 "," 28,3 ", 25 , 50 , 101 , 404 ,1,453
,,,,,,,,,,,,,,,"parsley, fresh",," 0,17 ", 17 , 170 ," 0,9 "," 2,6 "," 5,0 "," 28,3 ", 40 , 80 , 161 , 644 ,1,453
,,,,,,,,,,,,,,,"pasta, egg noodles",," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
,,,,,,,,,,,,,,,"pasta, macaroni",," 0,49 ", 49 , 490 ," 2,5 "," 7,4 "," 14,5 "," 28,3 ", 116 , 232 , 464 , 1.855 ,1,453
,,,,,,,,,,,,,,,peanut butter,," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,peanuts,," 0,62 ", 62 , 617 ," 3,1 "," 9,3 "," 18,3 "," 28,3 ", 146 , 292 , 584 , 2.336 ,1,453
,,,,,,,,,,,,,,,"peanuts, chopped",," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,"peanuts, oil roasted",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,"peas, green, raw",," 0,61 ", 61 , 613 ," 3,1 "," 9,2 "," 18,1 "," 28,3 ", 145 , 290 , 580 , 2.320 ,1,453
,,,,,,,,,,,,,,,"peas, uncooked",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,pecans,," 0,46 ", 46 , 465 ," 2,3 "," 7,0 "," 13,8 "," 28,3 ", 110 , 220 , 440 , 1.760 ,1,453
,,,,,,,,,,,,,,,"pecans, chopped",," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,"pecans, ground",," 0,42 ", 42 , 420 ," 2,1 "," 6,3 "," 12,4 "," 28,3 ", 99 , 199 , 397 , 1.590 ,1,453
,,,,,,,,,,,,,,,"pecans, shelled",," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,"pepper, black, ground",," 0,46 ", 46 , 460 ," 2,3 "," 6,9 "," 13,6 "," 28,3 ", 109 , 218 , 435 , 1.741 ,1,453
,,,,,,,,,,,,,,,"pepper, white, ground",," 0,47 ", 47 , 473 ," 2,4 "," 7,1 "," 14,0 "," 28,3 ", 112 , 224 , 448 , 1.792 ,1,453
,,,,,,,,,,,,,,,"peppercorns, black",," 0,57 ", 57 , 570 ," 2,9 "," 8,6 "," 16,9 "," 28,3 ", 135 , 270 , 539 , 2.158 ,1,453
,,,,,,,,,,,,,,,"peppercorns, white",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,"peppers, chopped chili",," 0,72 ", 72 , 720 ," 3,6 "," 10,8 "," 21,3 "," 28,3 ", 170 , 341 , 681 , 2.725 ,1,453
,,,,,,,,,,,,,,,pignolias (pine nuts),," 0,53 ", 53 , 530 ," 2,7 "," 8,0 "," 15,7 "," 28,3 ", 125 , 251 , 502 , 2.006 ,1,453
,,,,,,,,,,,,,,,"pistachio nuts, raw",," 0,52 ", 52 , 520 ," 2,6 "," 7,8 "," 15,4 "," 28,3 ", 123 , 246 , 492 , 1.968 ,1,453
,,,,,,,,,,,,,,,poppy seeds,," 0,58 ", 58 , 580 ," 2,9 "," 8,7 "," 17,2 "," 28,3 ", 137 , 274 , 549 , 2.196 ,1,453
,,,,,,,,,,,,,,,potato flour,," 0,68 ", 68 , 676 ," 3,4 "," 10,1 "," 20,0 "," 28,3 ", 160 , 320 , 640 , 2.560 ,1,453
,,,,,,,,,,,,,,,"potatoes, cooked diced",," 0,85 ", 85 , 850 ," 4,3 "," 12,8 "," 25,1 "," 28,3 ", 201 , 402 , 804 , 3.218 ,1,453
,,,,,,,,,,,,,,,"potatoes, mashed",," 0,89 ", 89 , 890 ," 4,5 "," 13,4 "," 26,3 "," 28,3 ", 211 , 421 , 842 , 3.369 ,1,453
,,,,,,,,,,,,,,,"potatoes, sliced raw",," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,pumpkin pie spice,," 0,37 ", 37 , 373 ," 1,9 "," 5,6 "," 11,0 "," 28,3 ", 88 , 177 , 353 , 1.413 ,1,453
,,,,,,,,,,,,,,,"pumpkin, cooked",," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,"quinoa, uncooked",," 0,72 ", 72 , 719 ," 3,6 "," 10,8 "," 21,3 "," 28,3 ", 170 , 340 , 680 , 2.720 ,1,453
,,,,,,,,,,,,,,,"raisins, seedless, not packed",," 0,61 ", 61 , 613 ," 3,1 "," 9,2 "," 18,1 "," 28,3 ", 145 , 290 , 580 , 2.320 ,1,453
,,,,,,,,,,,,,,,"raisins, seedless, packed",," 0,70 ", 70 , 697 ," 3,5 "," 10,5 "," 20,6 "," 28,3 ", 165 , 330 , 660 , 2.640 ,1,453
,,,,,,,,,,,,,,,"raspberries, raw",," 0,52 ", 52 , 520 ," 2,6 "," 7,8 "," 15,4 "," 28,3 ", 123 , 246 , 492 , 1.968 ,1,453
,,,,,,,,,,,,,,,"rice flour, brown",," 0,67 ", 67 , 668 ," 3,3 "," 10,0 "," 19,8 "," 28,3 ", 158 , 316 , 632 , 2.528 ,1,453
,,,,,,,,,,,,,,,"rice flour, white",," 0,67 ", 67 , 668 ," 3,3 "," 10,0 "," 19,8 "," 28,3 ", 158 , 316 , 632 , 2.528 ,1,453
,,,,,,,,,,,,,,,"rice, arborio uncooked",," 0,77 ", 77 , 770 ," 3,9 "," 11,6 "," 22,8 "," 28,3 ", 182 , 364 , 729 , 2.915 ,1,453
,,,,,,,,,,,,,,,"rice, brown, long-grain, uncooked",," 0,78 ", 78 , 782 ," 3,9 "," 11,7 "," 23,1 "," 28,3 ", 185 , 370 , 740 , 2.960 ,1,453
,,,,,,,,,,,,,,,"rice, brown, medium-grain, uncooked",," 0,80 ", 80 , 803 ," 4,0 "," 12,0 "," 23,8 "," 28,3 ", 190 , 380 , 760 , 3.040 ,1,453
,,,,,,,,,,,,,,,"rice, steamed",," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,"rice, uncooked",," 0,89 ", 89 , 890 ," 4,5 "," 13,4 "," 26,3 "," 28,3 ", 211 , 421 , 842 , 3.369 ,1,453
,,,,,,,,,,,,,,,"rice, uncooked Basmati",," 0,83 ", 83 , 830 ," 4,2 "," 12,5 "," 24,5 "," 28,3 ", 196 , 393 , 785 , 3.142 ,1,453
,,,,,,,,,,,,,,,"rice, uncooked Jasmin",," 0,78 ", 78 , 780 ," 3,9 "," 11,7 "," 23,1 "," 28,3 ", 185 , 369 , 738 , 2.953 ,1,453
,,,,,,,,,,,,,,,"rice, white, glutinous, uncooked",," 0,78 ", 78 , 782 ," 3,9 "," 11,7 "," 23,1 "," 28,3 ", 185 , 370 , 740 , 2.960 ,1,453
,,,,,,,,,,,,,,,"rice, white, short-grain, uncooked",," 0,85 ", 85 , 845 ," 4,2 "," 12,7 "," 25,0 "," 28,3 ", 200 , 400 , 800 , 3.200 ,1,453
,,,,,,,,,,,,,,,"rice, wild, uncooked",," 0,61 ", 61 , 610 ," 3,1 "," 9,2 "," 18,0 "," 28,3 ", 144 , 289 , 577 , 2.309 ,1,453
,,,,,,,,,,,,,,,"rosemary, dried",," 0,22 ", 22 , 220 ," 1,1 "," 3,3 "," 6,5 "," 28,3 ", 52 , 104 , 208 , 833 ,1,453
,,,,,,,,,,,,,,,"rosemary, fresh",," 0,11 ", 11 , 113 ," 0,6 "," 1,7 "," 3,4 "," 28,3 ", 27 , 54 , 107 , 429 ,1,453
,,,,,,,,,,,,,,,rum (40%),," 0,94 ", 94 , 940 ," 4,7 "," 14,1 "," 27,8 "," 28,3 ", 222 , 445 , 890 , 3.558 ,1,453
,,,,,,,,,,,,,,,"rye flour, dark",," 0,54 ", 54 , 541 ," 2,7 "," 8,1 "," 16,0 "," 28,3 ", 128 , 256 , 512 , 2.048 ,1,453
,,,,,,,,,,,,,,,"rye flour, light",," 0,43 ", 43 , 431 ," 2,2 "," 6,5 "," 12,8 "," 28,3 ", 102 , 204 , 408 , 1.632 ,1,453
,,,,,,,,,,,,,,,"rye flour, medium",," 0,43 ", 43 , 431 ," 2,2 "," 6,5 "," 12,8 "," 28,3 ", 102 , 204 , 408 , 1.632 ,1,453
,,,,,,,,,,,,,,,saffron,," 0,14 ", 14 , 140 ," 0,7 "," 2,1 "," 4,1 "," 28,3 ", 33 , 66 , 132 , 530 ,1,453
,,,,,,,,,,,,,,,"sage, ground",," 0,13 ", 13 , 133 ," 0,7 "," 2,0 "," 3,9 "," 28,3 ", 32 , 63 , 126 , 505 ,1,453
,,,,,,,,,,,,,,,salt,," 1,02 ", 102 , 1.020 ," 5,1 "," 15,3 "," 30,2 "," 28,3 ", 241 , 483 , 965 , 3.861 ,1,453
,,,,,,,,,,,,,,,"salt, table",," 1,20 ", 120 , 1.200 ," 6,0 "," 18,0 "," 35,5 "," 28,3 ", 284 , 568 , 1.136 , 4.542 ,1,453
,,,,,,,,,,,,,,,scallions (green onions),," 0,21 ", 21 , 210 ," 1,1 "," 3,2 "," 6,2 "," 28,3 ", 50 , 99 , 199 , 795 ,1,453
,,,,,,,,,,,,,,,sesame seeds,," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,shallots,," 1,02 ", 102 , 1.020 ," 5,1 "," 15,3 "," 30,2 "," 28,3 ", 241 , 483 , 965 , 3.861 ,1,453
,,,,,,,,,,,,,,,sour cream,," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,soy sauce,," 1,07 ", 107 , 1.067 ," 5,3 "," 16,0 "," 31,5 "," 28,3 ", 252 , 505 , 1.009 , 4.038 ,1,453
,,,,,,,,,,,,,,,soymilk,," 1,03 ", 103 , 1.027 ," 5,1 "," 15,4 "," 30,4 "," 28,3 ", 243 , 486 , 972 , 3.888 ,1,453
,,,,,,,,,,,,,,,"spaghetti, uncooked",," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,"spearmint, dried",," 0,11 ", 11 , 107 ," 0,5 "," 1,6 "," 3,2 "," 28,3 ", 25 , 50 , 101 , 404 ,1,453
,,,,,,,,,,,,,,,"spinach, cooked",," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,split peas,," 0,85 ", 85 , 850 ," 4,3 "," 12,8 "," 25,1 "," 28,3 ", 201 , 402 , 804 , 3.218 ,1,453
,,,,,,,,,,,,,,,"strawberries, raw, halves",," 0,64 ", 64 , 642 ," 3,2 "," 9,6 "," 19,0 "," 28,3 ", 152 , 304 , 608 , 2.432 ,1,453
,,,,,,,,,,,,,,,"strawberries, raw, pureed",," 0,98 ", 98 , 981 ," 4,9 "," 14,7 "," 29,0 "," 28,3 ", 232 , 464 , 928 , 3.712 ,1,453
,,,,,,,,,,,,,,,sugar,," 0,87 ", 87 , 870 ," 4,4 "," 13,1 "," 25,7 "," 28,3 ", 206 , 412 , 823 , 3.293 ,1,453
,,,,,,,,,,,,,,,"sugar, brown",," 0,85 ", 85 , 850 ," 4,3 "," 12,8 "," 25,1 "," 28,3 ", 201 , 402 , 804 , 3.218 ,1,453
,,,,,,,,,,,,,,,"sugar, castor",," 0,81 ", 81 , 810 ," 4,1 "," 12,2 "," 24,0 "," 28,3 ", 192 , 383 , 767 , 3.066 ,1,453
,,,,,,,,,,,,,,,"sugar, confectioner's",," 0,55 ", 55 , 550 ," 2,8 "," 8,3 "," 16,3 "," 28,3 ", 130 , 260 , 520 , 2.082 ,1,453
,,,,,,,,,,,,,,,"sugar, granulated",," 0,87 ", 87 , 870 ," 4,4 "," 13,1 "," 25,7 "," 28,3 ", 206 , 412 , 823 , 3.293 ,1,453
,,,,,,,,,,,,,,,"sugar, powdered",," 0,55 ", 55 , 550 ," 2,8 "," 8,3 "," 16,3 "," 28,3 ", 130 , 260 , 520 , 2.082 ,1,453
,,,,,,,,,,,,,,,sultanas,," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,"sunflower seeds, shelled",," 0,56 ", 56 , 560 ," 2,8 "," 8,4 "," 16,6 "," 28,3 ", 132 , 265 , 530 , 2.120 ,1,453
,,,,,,,,,,,,,,,"sweet potatoes, cooked",," 1,02 ", 102 , 1.020 ," 5,1 "," 15,3 "," 30,2 "," 28,3 ", 241 , 483 , 965 , 3.861 ,1,453
,,,,,,,,,,,,,,,"sweet potatoes, raw",," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,"syrup, corn, dark",," 1,39 ", 139 , 1.386 ," 6,9 "," 20,8 "," 41,0 "," 28,3 ", 328 , 656 , 1.312 , 5.248 ,1,453
,,,,,,,,,,,,,,,"syrup, corn, light",," 1,44 ", 144 , 1.441 ," 7,2 "," 21,6 "," 42,6 "," 28,3 ", 341 , 682 , 1.364 , 5.456 ,1,453
,,,,,,,,,,,,,,,"syrups, maple",," 1,33 ", 133 , 1.333 ," 6,7 "," 20,0 "," 39,4 "," 28,3 ", 315 , 631 , 1.262 , 5.047 ,1,453
,,,,,,,,,,,,,,,tabasco,," 0,96 ", 96 , 960 ," 4,8 "," 14,4 "," 28,4 "," 28,3 ", 227 , 454 , 908 , 3.634 ,1,453
,,,,,,,,,,,,,,,"tarragon, dried leaves",," 0,12 ", 12 , 120 ," 0,6 "," 1,8 "," 3,5 "," 28,3 ", 28 , 57 , 114 , 454 ,1,453
,,,,,,,,,,,,,,,tea,," 0,32 ", 32 , 320 ," 1,6 "," 4,8 "," 9,5 "," 28,3 ", 76 , 151 , 303 , 1.211 ,1,453
,,,,,,,,,,,,,,,"thyme, dried, leaves",," 0,18 ", 18 , 180 ," 0,9 "," 2,7 "," 5,3 "," 28,3 ", 43 , 85 , 170 , 681 ,1,453
,,,,,,,,,,,,,,,"thyme, fresh",," 0,16 ", 16 , 160 ," 0,8 "," 2,4 "," 4,7 "," 28,3 ", 38 , 76 , 151 , 606 ,1,453
,,,,,,,,,,,,,,,tiger lily blossoms,," 0,17 ", 17 , 170 ," 0,9 "," 2,6 "," 5,0 "," 28,3 ", 40 , 80 , 161 , 644 ,1,453
,,,,,,,,,,,,,,,tomato paste,," 1,10 ", 110 , 1.100 ," 5,5 "," 16,5 "," 32,5 "," 28,3 ", 260 , 520 , 1.041 , 4.164 ,1,453
,,,,,,,,,,,,,,,tomato puree,," 1,06 ", 106 , 1.057 ," 5,3 "," 15,9 "," 31,3 "," 28,3 ", 250 , 500 , 1.000 , 4.000 ,1,453
,,,,,,,,,,,,,,,"tomatoes, chopped",," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,"tomatoes, crushed, canned",," 1,08 ", 108 , 1.078 ," 5,4 "," 16,2 "," 31,9 "," 28,3 ", 255 , 510 , 1.020 , 4.080 ,1,453
,,,,,,,,,,,,,,,"tuna, canned",," 0,85 ", 85 , 850 ," 4,3 "," 12,8 "," 25,1 "," 28,3 ", 201 , 402 , 804 , 3.218 ,1,453
,,,,,,,,,,,,,,,"turmeric, ground",," 0,59 ", 59 , 590 ," 3,0 "," 8,9 "," 17,4 "," 28,3 ", 140 , 279 , 558 , 2.233 ,1,453
,,,,,,,,,,,,,,,vanilla extract,," 0,88 ", 88 , 880 ," 4,4 "," 13,2 "," 26,0 "," 28,3 ", 208 , 416 , 833 , 3.331 ,1,453
,,,,,,,,,,,,,,,"vanilla wafers, crushed",," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,"vinegar, balsamic",," 1,08 ", 108 , 1.078 ," 5,4 "," 16,2 "," 31,9 "," 28,3 ", 255 , 510 , 1.020 , 4.080 ,1,453
,,,,,,,,,,,,,,,"vinegar, cider",," 1,01 ", 101 , 1.010 ," 5,1 "," 15,2 "," 29,9 "," 28,3 ", 239 , 478 , 956 , 3.823 ,1,453
,,,,,,,,,,,,,,,"vodka, 40%",," 0,94 ", 94 , 940 ," 4,7 "," 14,1 "," 27,8 "," 28,3 ", 222 , 445 , 890 , 3.558 ,1,453
,,,,,,,,,,,,,,,"walnuts, chopped",," 0,49 ", 49 , 490 ," 2,5 "," 7,4 "," 14,5 "," 28,3 ", 116 , 232 , 464 , 1.855 ,1,453
,,,,,,,,,,,,,,,"walnuts, ground",," 0,36 ", 36 , 360 ," 1,8 "," 5,4 "," 10,6 "," 28,3 ", 85 , 170 , 341 , 1.363 ,1,453
,,,,,,,,,,,,,,,"walnuts, shelled",," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,water,," 1,00 ", 100 , 1.000 ," 5,0 "," 15,0 "," 29,6 "," 28,3 ", 237 , 473 , 946 , 3.785 ,1,453
,,,,,,,,,,,,,,,"wheat flour, whole-grain",," 0,51 ", 51 , 507 ," 2,5 "," 7,6 "," 15,0 "," 28,3 ", 120 , 240 , 480 , 1.920 ,1,453
,,,,,,,,,,,,,,,wheat germ,," 0,53 ", 53 , 530 ," 2,7 "," 8,0 "," 15,7 "," 28,3 ", 125 , 251 , 502 , 2.006 ,1,453
,,,,,,,,,,,,,,,wild rice,," 0,61 ", 61 , 610 ," 3,1 "," 9,2 "," 18,0 "," 28,3 ", 144 , 289 , 577 , 2.309 ,1,453
,,,,,,,,,,,,,,,"wine, red",," 0,99 ", 99 , 990 ," 5,0 "," 14,9 "," 29,3 "," 28,3 ", 234 , 468 , 937 , 3.748 ,1,453
,,,,,,,,,,,,,,,"wine, white",," 0,99 ", 99 , 990 ," 5,0 "," 14,9 "," 29,3 "," 28,3 ", 234 , 468 , 937 , 3.748 ,1,453
,,,,,,,,,,,,,,,"yeast, active dry",," 1,23 ", 123 , 1.230 ," 6,2 "," 18,5 "," 36,4 "," 28,3 ", 291 , 582 , 1.164 , 4.656 ,1,453
